Name,Color,Rarity,# GP,% GP,GP WR,# OH,OH WR,power_level
Hive of the Eye Tyrant,,R,17839,84.2,57.2,3320,60.0%,3
"Ebondeath, Dracolich",B,M,9542,87.2,57.2,1648,62.7%,3
Dragon's Fire,R,C,147119,90.0,57.2,36372,59.3%,3
"Iymrith, Desert Doom",U,M,8185,83.0,57.2,1358,64.8%,3
Magic Missile,R,U,63559,90.6,57.1,12264,56.9%,3
Shambling Ghast,B,C,122393,81.3,57.1,29100,60.4%,3
Hired Hexblade,B,C,100884,66.6,57.0,23612,56.4%,2
Red Dragon,R,U,55915,89.1,57.0,9553,57.6%,3
Chaos Channeler,R,U,60397,89.1,57.0,11219,57.5%,3
Black Dragon,B,U,52614,86.6,56.9,8711,57.8%,3
Flameskull,R,M,10754,87.2,56.9,1909,59.3%,3
Valor Singer,R,C,122233,80.0,56.9,28980,58.3%,3
Hobgoblin Captain,R,C,144696,88.9,56.9,39282,59.3%,3
Plundering Barbarian,R,C,136836,84.5,56.8,31923,56.6%,3
Reaper's Talisman,B,U,63081,89.2,56.7,12051,57.9%,3
Goblin Morningstar,R,U,61752,88.8,56.5,12514,57.1%,3
Feign Death,B,C,54293,42.5,56.5,9554,57.2%,1
Burning Hands,R,U,55083,85.7,56.4,10868,56.7%,3
Lair of the Hydra,,R,15001,81.2,56.4,2782,59.0%,3
Werewolf Pack Leader,G,R,17287,86.3,56.4,3262,62.7%,3
"Varis, Silverymoon Ranger",G,R,18104,87.1,56.3,3211,62.8%,3
Hulking Bugbear,R,U,54704,87.7,56.3,10658,57.0%,3
"Targ Nar, Demon-Fang Gnoll",RG,U,28663,52.1,56.3,6628,58.7%,1
Grim Wanderer,B,U,45020,85.3,56.3,8285,56.6%,3
Improvised Weaponry,R,C,120835,79.0,56.3,26755,56.8%,3
You See a Pair of Goblins,R,U,42280,70.9,56.2,7942,53.9%,2
Hoarding Ogre,R,C,115176,80.6,56.1,24642,56.5%,3
Earth-Cult Elemental,R,C,64358,46.3,56.1,11523,56.7%,1
Hunter's Mark,G,U,54033,84.8,56.1,10213,56.9%,3
Intrepid Outlander,G,U,48189,86.1,55.9,10085,58.3%,2
Hoard Robber,B,C,96616,74.6,55.9,22208,58.6%,2
Tiger-Tribe Hunter,R,U,49212,72.1,55.9,8550,53.9%,2
Hobgoblin Bandit Lord,R,R,17673,78.0,55.9,3121,55.4%,2
"Icingdeath, Frost Tyrant",W,M,8706,87.1,55.8,1508,62.6%,2
Precipitous Drop,B,C,106050,80.2,55.8,25397,55.4%,2
Lurking Roper,G,U,45696,76.1,55.8,9690,57.5%,2
Ochre Jelly,G,R,19632,89.8,55.7,3452,56.3%,2
"Trelasarra, Moon Dancer",WG,U,30292,65.2,55.7,6770,59.4%,2
Clattering Skeletons,B,C,71051,57.6,55.7,14325,55.6%,1
Farideh's Fireball,R,C,100072,74.9,55.7,18980,53.5%,2
Bull's Strength,G,C,62292,45.0,55.7,12054,53.6%,1
Prosperous Innkeeper,G,U,41844,83.0,55.6,8758,59.5%,2
Baleful Beholder,B,C,59273,42.3,55.6,9475,53.8%,1
Paladin Class,W,R,18585,86.9,55.6,3360,59.8%,2
Jaded Sell-Sword,R,C,60161,44.1,55.5,11697,55.1%,1
Cleric Class,W,U,29064,62.7,55.5,5703,55.2%,2
Priest of Ancient Lore,W,C,108150,83.4,55.5,28663,57.8%,2
You're Ambushed on the Road,W,C,19234,16.2,55.5,3346,55.0%,1
Inspiring Bard,G,C,76035,58.8,55.5,16326,54.5%,1
Fates' Reversal,B,C,60916,43.2,55.5,10807,52.7%,1
Owlbear,G,C,108918,81.8,55.4,26209,56.2%,2
Dancing Sword,W,R,19448,86.5,55.4,3467,56.3%,2
Spoils of the Hunt,G,C,110560,80.2,55.4,26790,54.1%,2
Triumphant Adventurer,WB,R,13857,70.7,55.3,2494,63.4%,2
Yuan-Ti Fang-Blade,B,C,98820,85.3,55.3,22871,55.5%,2
Gnoll Hunter,G,C,98434,76.8,55.3,27370,57.0%,2
Grand Master of Flowers,W,M,8649,82.9,55.3,1492,59.5%,2
Yuan-Ti Malison,U,R,12936,78.9,55.3,2440,64.7%,2
Wandering Troubadour,G,U,44544,83.9,55.2,8662,56.5%,2
Rust Monster,R,U,45691,70.2,55.2,8911,53.4%,2
Hill Giant Herdgorger,G,C,100283,69.9,55.2,20092,55.0%,2
Dungeon Crawler,B,U,33861,61.6,55.2,6915,58.7%,2
Circle of the Moon Druid,G,C,72955,58.8,55.2,16997,56.2%,1
Zombie Ogre,B,C,74289,55.6,55.1,13807,53.8%,1
Evolving Wilds,,C,135120,90.5,55.1,29719,56.8%,2
"Xanathar, Guild Kingpin",UB,M,10288,89.2,55.1,1700,58.1%,2
Elturgard Ranger,G,C,74721,54.6,55.1,14556,55.1%,1
Steadfast Paladin,W,C,108093,83.6,54.9,29171,58.0%,2
Temple of the Dragon Queen,,U,56809,87.2,54.9,11427,56.7%,2
Loyal Warhound,W,R,15517,81.8,54.9,2876,58.5%,2
Cave of the Frost Dragon,,R,15140,80.0,54.8,2758,57.8%,2
You Hear Something on Watch,W,C,88417,72.0,54.8,20132,55.3%,2
Veteran Dungeoneer,W,C,78284,65.7,54.7,18113,56.2%,2
Boots of Speed,R,C,66627,42.0,54.7,12808,54.0%,1
White Dragon,W,U,39690,82.4,54.7,6742,54.4%,2
Armory Veteran,R,C,83014,57.3,54.7,20291,54.8%,1
Old Gnawbone,G,M,7780,83.6,54.6,1198,55.1%,2
Xorn,R,R,14514,75.3,54.6,2551,52.9%,2
Lightfoot Rogue,B,U,34228,80.2,54.6,6847,55.7%,2
Underdark Basilisk,G,C,90374,75.1,54.6,22588,54.7%,2
Mordenkainen,U,M,7734,79.5,54.6,1220,56.4%,2
Dueling Rapier,R,C,54393,41.1,54.5,10421,54.3%,1
Death-Priest of Myrkul,B,U,40830,82.5,54.5,7511,51.9%,2
You Meet in a Tavern,G,U,24004,50.3,54.5,4040,52.3%,1
Manticore,B,C,48368,41.8,54.5,8705,52.3%,1
Unexpected Windfall,R,C,50069,36.3,54.4,8740,51.1%,1
Portable Hole,W,U,38479,72.1,54.4,7167,53.2%,2
Celestial Unicorn,W,C,62388,62.8,54.4,16613,55.4%,2
Hand of Vecna,,R,17115,85.7,54.3,2990,54.8%,2
Krydle of Baldur's Gate,UB,U,22164,53.5,54.3,4535,57.1%,1
"Delina, Wild Mage",R,R,17769,89.7,54.2,3092,52.7%,2
Froghemoth,G,R,17108,86.8,54.2,2905,53.2%,2
Hall of Storm Giants,,R,9787,69.1,54.2,1803,59.0%,2
Skeletal Swarming,BG,R,20931,88.7,54.1,3539,54.2%,2
Plate Armor,W,U,50064,82.4,54.1,9451,53.8%,2
Arborea Pegasus,W,C,83801,68.9,54.1,18451,53.1%,2
Ranger's Hawk,W,C,66062,55.7,54.1,14876,55.7%,1
Goblin Javelineer,R,C,38699,33.6,54.0,8820,55.8%,1
Bruenor Battlehammer,WR,U,34220,62.0,54.0,7210,56.6%,1
Purple Worm,G,U,38346,77.4,54.0,6284,52.5%,1
Vorpal Sword,B,R,15073,81.9,54.0,2573,53.0%,1
Dragon Turtle,U,R,10078,71.7,54.0,1799,55.4%,1
Sylvan Shepherd,G,C,54609,53.8,54.0,12380,54.5%,1
Dawnbringer Cleric,W,C,73518,65.5,54.0,15971,52.9%,1
Druid Class,G,U,20489,51.2,53.9,3873,53.9%,1
Barrowin of Clan Undurr,WB,U,26798,58.2,53.9,5312,53.0%,1
Wild Shape,G,U,6647,14.7,53.9,1095,53.0%,1
You Come to the Gnoll Camp,R,C,19220,14.7,53.9,3120,50.9%,1
Dwarfhold Champion,W,C,81106,66.7,53.8,21290,55.3%,1
Planar Ally,W,C,72217,72.3,53.8,14436,52.5%,1
Check for Traps,B,U,23851,44.6,53.8,4470,54.0%,1
Ellywick Tumblestrum,G,M,7644,81.5,53.7,1259,53.7%,1
Minimus Containment,W,C,88297,81.1,53.7,19774,50.8%,1
"Zalto, Fire Giant Duke",R,R,13373,79.5,53.7,2118,53.8%,1
Djinni Windseer,U,C,57641,69.0,53.7,14605,54.4%,1
Teleportation Circle,W,R,18379,81.9,53.7,3207,53.5%,1
"Minsc, Beloved Ranger",WRG,M,4248,47.9,53.6,644,56.1%,1
You Happen On a Glade,G,U,28806,59.7,53.6,5461,51.3%,1
Guardian of Faith,W,R,12317,77.8,53.6,2120,51.7%,1
Potion of Healing,W,C,22042,21.4,53.6,5049,53.1%,1
Thieves' Tools,B,C,63278,50.1,53.6,12216,50.3%,1
Cloister Gargoyle,W,U,31030,67.1,53.6,6603,52.6%,1
Choose Your Weapon,G,U,18064,41.4,53.5,2894,52.2%,1
Rally Maneuver,W,U,30951,59.6,53.4,5189,51.8%,1
"Grazilaxx, Illithid Scholar",U,R,11301,74.9,53.4,2035,56.1%,1
Spare Dagger,,C,17445,13.3,53.4,3433,53.4%,1
Dire Wolf Prowler,G,C,44597,39.5,53.4,9668,51.7%,1
Eccentric Apprentice,U,U,24455,67.5,53.3,5185,53.2%,1
Demogorgon's Clutches,B,U,8433,23.2,53.3,1492,51.3%,1
Moon-Blessed Cleric,W,U,24332,53.8,53.3,4549,51.3%,1
The Book of Exalted Deeds,W,M,2718,37.1,53.2,395,,1
"Shessra, Death's Whisper",BG,U,16962,36.3,53.2,3099,50.0%,1
Herald of Hadar,B,C,29770,27.3,53.2,4928,50.2%,1
Iron Golem,,U,9855,26.2,53.1,1757,49.2%,0
Ingenious Smith,W,U,16044,45.2,53.1,3417,56.6%,1
The Tarrasque,G,M,4727,62.2,53.1,719,53.5%,1
Arcane Investigator,U,C,39131,42.5,53.0,8698,53.3%,0
Air-Cult Elemental,U,C,41520,39.0,53.0,7803,52.0%,0
Drider,B,U,23937,65.0,52.9,4109,49.2%,0
Devoted Paladin,W,C,45774,41.5,52.9,7901,52.4%,0
Displacer Beast,U,U,23094,64.5,52.8,4718,53.8%,0
Spiked Pit Trap,,C,38795,32.2,52.8,6897,49.8%,0
"Volo, Guide to Monsters",UG,R,12109,66.4,52.8,2104,53.6%,0
Oswald Fiddlebender,W,R,5521,33.1,52.8,947,53.9%,0
Ray of Frost,U,U,25034,64.7,52.7,5022,53.2%,0
Delver's Torch,W,C,59404,57.7,52.7,11520,51.6%,0
The Deck of Many Things,,M,9341,91.1,52.7,1491,48.7%,1
Clever Conjurer,U,C,32384,30.6,52.7,7352,53.9%,0
Charmed Sleep,U,C,47618,67.1,52.7,11418,51.2%,0
Half-Elf Monk,W,C,51263,43.4,52.6,9606,49.9%,0
Soulknife Spy,U,C,46474,53.5,52.6,11785,53.2%,0
Gretchen Titchwillow,UG,U,13136,30.4,52.5,2822,53.6%,0
You Find Some Prisoners,R,U,14138,29.0,52.5,2548,47.6%,0
You Come to a River,U,C,27085,27.7,52.5,5206,50.2%,0
Dragon's Disciple,W,U,6191,14.4,52.4,1234,50.7%,0
Green Dragon,G,U,21602,59.6,52.4,3483,51.7%,0
Scion of Stygia,U,C,46650,51.5,52.4,11428,50.7%,0
Bar the Gate,U,C,18906,22.4,52.4,3963,53.8%,0
Blue Dragon,U,U,23408,65.4,52.4,3934,51.1%,0
Eyes of the Beholder,B,C,28397,23.8,52.4,4585,47.9%,0
You See a Guard Approach,U,C,6757,6.8,52.3,1142,51.4%,0
Dungeon Map,,U,30899,58.5,52.3,5548,49.4%,0
Monk of the Open Hand,W,U,14621,39.6,52.3,2925,52.2%,0
Fighter Class,WR,R,7827,45.0,52.3,1393,46.4%,0
+2 Mace,W,C,39224,35.3,52.3,7333,48.8%,0
Neverwinter Dryad,G,C,24938,25.5,52.3,5406,53.1%,0
Fly,U,U,20113,57.6,52.2,3905,52.8%,0
Bulette,G,C,29951,30.3,52.1,5606,49.1%,0
Compelled Duel,G,C,11139,10.8,52.1,1973,49.6%,0
Blink Dog,W,U,12957,31.4,52.0,2469,50.1%,0
Pixie Guide,U,C,33721,42.4,51.9,8497,51.9%,0
Rimeshield Frost Giant,U,C,27739,29.9,51.9,5256,51.4%,0
Wizard Class,U,U,23211,68.8,51.9,4536,50.7%,0
Critical Hit,R,U,5867,14.8,51.9,940,49.0%,0
Feywild Trickster,U,U,17906,51.5,51.9,4014,52.3%,0
Contact Other Plane,U,C,41265,46.3,51.7,8259,48.9%,0
"Farideh, Devil's Chosen",UR,U,14198,35.3,51.7,3015,50.0%,0
You Find a Cursed Idol,G,C,32358,29.5,51.7,5920,47.0%,0
Long Rest,G,R,4538,27.3,51.6,692,48.7%,0
Trickster's Talisman,U,U,13794,37.2,51.5,2483,48.9%,0
Brazen Dwarf,R,C,16302,16.1,51.5,3778,50.8%,0
Paladin's Shield,W,C,17785,16.7,51.5,3142,48.1%,0
Eye of Vecna,,R,8997,65.6,51.5,1645,47.2%,0
Treasure Vault,,R,2363,17.0,51.4,373,,0
Shocking Grasp,U,C,12537,12.2,51.4,2549,49.5%,0
Greataxe,,C,5724,5.7,51.3,961,46.2%,0
Acererak the Archlich,B,M,6850,80.2,51.3,1186,47.3%,1
Loathsome Troll,G,U,16999,43.6,51.3,2823,46.4%,0
Leather Armor,,C,6084,6.1,51.3,1048,50.4%,0
Sphere of Annihilation,B,R,5222,45.1,51.3,888,49.5%,0
Tiamat,WUBRG,M,1029,14.3,51.1,154,,0
Split the Party,U,U,5864,15.0,51.1,896,48.7%,0
Keen-Eared Sentry,W,U,9664,23.9,51.0,1817,51.2%,0
Aberrant Mind Sorcerer,U,U,15362,40.3,51.0,2692,47.2%,0
Guild Thief,U,U,17245,58.2,51.0,3728,49.6%,0
Shortcut Seeker,U,C,25706,29.1,51.0,5353,50.5%,0
Secret Door,U,C,18783,19.7,50.9,3780,48.0%,0
You Find the Villains' Lair,U,C,11775,14.5,50.9,2298,50.4%,0
Find the Path,G,C,17724,18.6,50.9,3769,48.4%,0
Asmodeus the Archfiend,B,R,4496,39.3,50.8,703,46.2%,0
Ranger's Longbow,G,C,9800,9.3,50.8,1684,45.4%,0
Gloom Stalker,W,C,21032,21.7,50.7,4371,47.8%,0
Scaled Herbalist,G,C,12050,12.2,50.6,2328,50.4%,0
Orb of Dragonkind,R,R,640,3.8,50.3,101,,0
Devour Intellect,B,C,1456,1.4,50.2,254,,0
Demilich,U,M,1731,25.7,50.1,265,,0
Fifty Feet of Rope,,U,8475,20.1,50.1,1529,45.1%,0
Barbarian Class,R,U,9771,26.5,49.8,1896,46.6%,0
Wizard's Spellbook,U,R,3603,24.7,49.8,558,43.2%,0
Instrument of the Bards,G,R,2634,20.6,49.7,435,,0
Bag of Holding,,U,7144,16.1,49.6,1342,43.7%,0
Kick in the Door,R,C,5425,5.0,49.4,1016,46.8%,0
Minion of the Mighty,R,R,668,4.5,49.3,120,,0
Silver Raven,U,C,7252,9.9,49.2,1660,50.7%,0
Circle of Dreams Druid,G,R,2042,17.8,49.1,355,,0
Power of Persuasion,U,U,6477,18.8,49.1,1229,48.6%,0
Divine Smite,W,U,2347,5.9,49.0,376,,0
Flumph,W,R,2387,15.9,49.0,436,,0
Rogue Class,UB,R,5537,40.9,48.9,905,41.7%,0
Mimic,,C,3947,4.5,48.6,770,45.7%,0
Plummet,G,C,2216,2.1,48.4,371,,0
"Hama Pashar, Ruin Seeker",WU,U,12238,32.8,48.4,2490,44.4%,0
Monk Class,WU,R,4147,28.1,47.5,772,45.9%,0
Sudden Insight,U,U,1495,3.4,47.3,218,,0
Treasure Chest,,R,3450,37.8,47.2,543,38.9%,0
Dungeon Descent,,R,772,4.7,46.9,157,,0
Mordenkainen's Polymorph,U,C,1348,1.5,45.9,217,,0
Tasha's Hideous Laughter,U,R,1566,16.3,45.7,302,,0
The Blackstaff of Waterdeep,U,R,1493,10.7,45.6,271,,0
True Polymorph,U,R,1473,11.5,45.3,208,,0
The Scarab God,UB,M,1462,87.5,61.9,265,,4
"Unesh, Criosphinx Sovereign",U,M,1367,82.3,61.7,247,,4
Glorybringer,R,R,2665,90.9,61.1,433,,4
Sand Strangler,R,U,10602,84.1,60.7,1963,65.9%,4
Insult // Injury,R,R,2593,82.2,60.5,450,,4
"Samut, Voice of Dissent",RG,M,1188,75.6,60.4,193,,4
Struggle // Survive,RG,U,9103,83.0,60.4,1770,61.1%,4
Vizier of the Anointed,U,U,5722,57.7,60.3,1059,61.2%,3
"Jace, Unraveler of Secrets",U,M,1193,86.6,60.3,192,,4
Sunscourge Champion,W,U,8476,88.1,60.2,1671,62.2%,4
Angel of Sanctions,W,M,1262,90.2,60.0,204,,4
Oketra the True,W,M,1315,94.9,59.9,232,,4
Farm // Market,WU,U,5863,71.1,59.9,1153,59.2%,4
Ahn-Crop Crasher,R,U,9032,89.6,59.8,1846,60.7%,4
Heaven // Earth,RG,R,1212,52.6,59.8,204,,3
Steward of Solidarity,W,U,8638,87.0,59.7,1732,64.4%,4
"Temmet, Vizier of Naktamun",WU,R,1418,61.8,59.6,269,,3
Champion of Wits,U,R,2825,88.4,59.5,460,,4
Earthshaker Khenra,R,R,2900,88.9,59.4,538,64.7%,4
Aven Wind Guide,WU,U,4836,62.3,59.4,948,61.4%,3
Deem Worthy,R,U,10102,85.5,59.4,1954,61.0%,4
Commit // Memory,U,R,1768,75.1,59.3,267,,4
The Scorpion God,BR,M,1399,87.2,59.3,264,,4
Glory-Bound Initiate,W,R,2692,89.1,59.2,483,,4
"Nicol Bolas, God-Pharaoh",UBR,M,994,76.2,59.2,165,,4
Labyrinth Guardian,U,U,8479,82.1,59.1,1727,61.4%,4
Magma Spray,R,C,22094,85.5,59.0,5121,62.8%,4
Desert's Hold,W,U,8559,87.5,59.0,1578,60.7%,4
Trial of Zeal,R,U,10409,89.2,58.9,2069,60.4%,4
Ramunap Ruins,,U,8739,87.6,58.9,1747,58.3%,4
Lay Claim,U,U,8836,84.0,58.9,1703,56.7%,4
Cut // Ribbons,BR,R,2792,89.4,58.8,475,,3
Burning-Fist Minotaur,R,U,9142,87.5,58.8,1840,59.9%,3
Sacred Cat,W,C,10445,65.3,58.8,2152,61.1%,3
Wrath of God,W,R,1773,77.6,58.8,293,,3
Cast Out,W,U,8603,88.5,58.7,1579,58.5%,3
Magmaroth,R,U,4938,66.1,58.7,965,56.7%,3
Shefet Dunes,,U,7915,85.0,58.7,1535,60.9%,3
Dusk // Dawn,W,R,1923,77.3,58.7,305,,3
Oketra's Avenger,W,C,18234,80.6,58.6,4531,60.4%,3
Nimble Obstructionist,U,R,2132,85.4,58.6,356,,3
Fan Bearer,W,C,17421,81.0,58.6,3776,61.8%,3
Desert of the Fervent,,C,23202,82.8,58.5,5519,60.0%,3
Abrade,R,U,9481,91.8,58.5,1884,60.2%,3
Never // Return,B,R,2486,87.1,58.5,430,,3
Vizier of Tumbling Sands,U,U,7108,77.3,58.4,1354,60.0%,3
Desert of the True,,C,21484,81.1,58.4,5036,58.4%,3
Consign // Oblivion,UB,U,4826,60.8,58.4,915,58.0%,2
Gust Walker,W,C,21471,86.1,58.4,5727,60.3%,3
Ifnir Deadlands,,U,8053,83.9,58.4,1590,59.6%,3
Archfiend of Ifnir,B,R,2554,88.9,58.3,419,,3
Cartouche of Solidarity,W,C,15677,80.2,58.2,3312,59.5%,3
Battlefield Scavenger,R,U,6858,83.4,58.2,1381,59.9%,3
Honored Crop-Captain,WR,U,5592,68.8,58.2,1131,61.8%,3
Cruel Reality,B,M,928,78.2,58.2,142,,3
Khenra Scrapper,R,C,18163,80.3,58.1,4101,57.2%,3
Open Fire,R,C,23017,88.0,58.1,5417,57.4%,3
Unquenchable Thirst,U,C,17415,74.0,58.1,3975,57.3%,3
Thresher Lizard,R,C,14261,66.1,58.1,3113,58.1%,2
Desert of the Mindful,,C,20863,80.5,58.1,5064,58.4%,3
Censor,U,U,5907,74.3,58.0,1127,59.8%,3
Solitary Camel,W,C,10468,50.7,58.0,2232,56.9%,2
Supreme Will,U,U,5590,79.2,58.0,1060,60.0%,3
Grind // Dust,WB,R,2226,77.7,58.0,376,,3
Prepare // Fight,WG,R,1676,69.9,58.0,296,,3
Curator of Mysteries,U,R,2521,85.8,57.9,455,,3
Enigma Drake,UR,U,4034,56.6,57.9,846,59.8%,2
Oketra's Monument,,U,6556,80.8,57.9,1205,62.1%,3
God-Pharaoh's Gift,,R,2861,92.1,57.9,476,,3
Oketra's Attendant,W,U,7650,85.6,57.9,1407,57.6%,3
"Liliana, Death's Majesty",B,M,1086,84.1,57.8,205,,3
"Neheb, the Eternal",R,M,1067,83.7,57.8,177,,3
Hazoret the Fervent,R,M,1093,88.1,57.8,204,,3
Compulsory Rest,W,C,17378,82.4,57.8,3824,57.8%,3
Aven of Enduring Hope,W,C,13263,67.3,57.8,2607,55.4%,2
Liliana's Mastery,B,R,2348,84.3,57.8,373,,3
Gideon of the Trials,W,M,1009,82.9,57.8,181,,3
Dauntless Aven,W,C,16215,79.1,57.7,3749,56.7%,3
Hour of Devastation,R,R,2042,72.1,57.7,340,,2
Vizier of Many Faces,U,R,2526,84.7,57.7,401,,3
Vizier of Deferment,W,U,5684,75.2,57.7,1042,56.0%,3
Nef-Crop Entangler,R,C,18098,78.8,57.6,4328,59.5%,3
"Chandra, Pyromaster",R,M,1083,84.7,57.6,211,,3
Rhonas the Indomitable,G,M,1394,85.2,57.6,254,,3
Trial of Knowledge,U,U,7506,73.9,57.5,1313,57.9%,2
Ipnu Rivulet,,U,6253,71.7,57.5,1163,58.5%,2
Puncturing Blow,R,C,17589,77.4,57.4,3521,56.0%,3
Firebrand Archer,R,C,13682,70.2,57.4,2991,57.1%,2
Desert Cerodon,R,C,12424,56.5,57.4,2605,54.3%,2
Brute Strength,R,C,7232,41.1,57.4,1317,56.6%,1
Essence Scatter,U,C,13523,69.8,57.3,2916,58.4%,2
Seeker of Insight,U,C,6312,32.4,57.3,1279,57.1%,1
Sweltering Suns,R,R,1892,76.0,57.3,336,,3
Hieroglyphic Illumination,U,C,15397,73.1,57.2,3335,56.3%,2
Perilous Vault,,R,1052,59.0,57.2,181,,2
Crocodile of the Crossing,G,U,6008,83.8,57.2,1155,59.8%,3
Cartouche of Knowledge,U,C,14862,72.0,57.2,3164,57.0%,2
Fervent Paincaster,R,U,8186,82.8,57.2,1610,57.0%,3
Gilded Cerodon,R,C,9932,47.0,57.2,1821,57.2%,1
The Locust God,UR,M,1356,87.4,57.2,220,,3
Ominous Sphinx,U,U,7787,83.6,57.1,1478,56.0%,3
Resilient Khenra,G,R,2087,80.6,57.1,372,,3
Zealot of the God-Pharaoh,R,C,10264,60.6,57.1,1899,57.2%,2
Trial of Solidarity,W,U,7675,77.6,57.0,1379,56.1%,3
Pathmaker Initiate,R,C,13126,58.0,57.0,2800,55.8%,1
"Hapatra, Vizier of Poisons",BG,R,1385,68.0,57.0,264,,2
Blur of Blades,R,C,8305,45.3,56.9,1615,56.8%,1
Trial of Ambition,B,U,6153,79.9,56.9,1184,61.0%,3
Mouth // Feed,G,R,2090,84.8,56.9,346,,3
Bontu's Last Reckoning,B,R,1691,69.2,56.9,281,,2
Wall of Forgotten Pharaohs,,C,14826,63.0,56.9,3382,58.3%,2
Sandwurm Convergence,G,R,2195,84.6,56.9,379,,3
Mighty Leap,W,C,5471,32.9,56.8,906,52.2%,1
Start // Finish,WB,U,5037,62.4,56.8,1017,58.6%,2
Sifter Wurm,G,U,6238,81.2,56.8,1024,58.0%,3
Bloodlust Inciter,R,C,5674,34.3,56.8,1091,58.8%,1
Shimmerscale Drake,U,C,15822,74.8,56.8,3604,55.9%,2
Aven Initiate,U,C,15151,72.7,56.7,3337,55.9%,2
Tah-Crop Elite,W,C,16732,80.4,56.7,3578,54.4%,3
Hornet Queen,G,M,1148,83.2,56.7,188,,3
Khenra Charioteer,RG,U,3404,55.1,56.7,691,56.4%,1
Striped Riverwinder,U,C,13444,68.3,56.7,2874,56.0%,2
Scattered Groves,,R,1417,66.7,56.6,261,,2
Anointer Priest,W,C,7488,48.5,56.6,1582,55.8%,1
Rhonas's Stalwart,G,C,14852,72.7,56.6,3703,58.7%,2
Cartouche of Strength,G,C,17212,81.6,56.6,3951,57.1%,3
Crested Sunmare,W,M,1047,82.6,56.5,161,,3
Trial of Strength,G,U,6472,77.8,56.5,1372,57.1%,3
Vizier of Remedies,W,U,3423,49.7,56.5,646,56.8%,1
Impeccable Timing,W,C,9809,60.8,56.5,1939,57.7%,1
Sphinx's Revelation,WU,M,664,54.6,56.5,115,,1
Sunset Pyramid,,U,7004,78.1,56.5,1310,56.9%,3
Splendid Agony,B,C,17274,75.7,56.4,3814,57.3%,3
Cartouche of Ambition,B,C,17199,79.0,56.4,3717,57.7%,3
Collected Company,G,R,981,62.1,56.4,174,,2
Cartouche of Zeal,R,C,12358,60.1,56.4,2494,53.8%,1
Binding Mummy,W,C,11641,66.6,56.3,2936,57.7%,2
Pact of Negation,U,R,710,35.4,56.3,115,,1
Eternal of Harsh Truths,U,U,5099,75.7,56.3,953,56.3%,3
Hashep Oasis,,U,6044,78.2,56.3,1136,57.4%,3
Baleful Ammit,B,U,6437,85.0,56.3,1258,58.6%,3
Exemplar of Strength,G,U,6485,83.5,56.3,1301,58.6%,3
Desert of the Glorified,,C,18617,77.6,56.2,4318,56.1%,3
Compelling Argument,U,C,2529,17.1,56.2,547,54.7%,1
Supply Caravan,W,C,4488,27.2,56.2,805,53.7%,1
Countervailing Winds,U,C,7249,41.2,56.2,1414,54.2%,1
Spellweaver Eternal,U,C,10916,61.3,56.2,2492,54.8%,1
Vile Manifestation,B,U,5185,68.0,56.1,1068,58.0%,2
Hour of Revelation,W,R,1096,54.7,56.1,192,,1
Desert of the Indomitable,,C,17384,75.8,56.0,4142,54.9%,3
Combat Celebrant,R,M,916,80.7,56.0,183,,3
Pride Sovereign,G,R,2017,75.3,56.0,342,,3
Hour of Promise,G,R,1208,55.3,56.0,201,,1
